🚀 连接设备: 192.168.31.194...
📋 开始全量扫描: 0x0000 - 0x5000
--------------------------------------------------------------------------------
地址       | Raw    | Signed  | /10      | /100    
--------------------------------------------------------------------------------
0x01F8   | 378    | 378     | 37.8     | 3.78    
0x01FB   | 378    | 378     | 37.8     | 3.78    
0x02FD   | 375    | 375     | 37.5     | 3.75    
0x0401   | 374    | 374     | 37.4     | 3.74    
0x0508   | 374    | 374     | 37.4     | 3.74    
0x050D   | 374    | 374     | 37.4     | 3.74    
0x0512   | 800    | 800     | 80.0     | 8.0     
0x0518   | 376    | 376     | 37.6     | 3.76    
0x0625   | 374    | 374     | 37.4     | 3.74    
0x073A   | 376    | 376     | 37.6     | 3.76    
0x073F   | 800    | 800     | 80.0     | 8.0     
0x094B   | 373    | 373     | 37.3     | 3.73    
0x0A5F   | 377    | 377     | 37.7     | 3.77    
0x0BAA   | 377    | 377     | 37.7     | 3.77    
0x0BAF   | 800    | 800     | 80.0     | 8.0     
0x0DAE   | 377    | 377     | 37.7     | 3.77    
0x0EBB   | 375    | 375     | 37.5     | 3.75    
0x0FD0   | 374    | 374     | 37.4     | 3.74    
0x0FD5   | 800    | 800     | 80.0     | 8.0     
0x1049   | 32223  | 32223   | 3222.3   | 322.23  
0x104A   | 0      | 0       | 0.0      | 0.0     
0x104B   | 0      | 0       | 0.0      | 0.0     
0x104C   | 0      | 0       | 0.0      | 0.0     
0x104D   | 0      | 0       | 0.0      | 0.0     
0x104E   | 7      | 7       | 0.7      | 0.07    
0x104F   | 5      | 5       | 0.5      | 0.05    
0x1050   | 1      | 1       | 0.1      | 0.01    
0x1051   | 0      | 0       | 0.0      | 0.0     
0x1052   | 0      | 0       | 0.0      | 0.0     
0x1053   | 15     | 15      | 1.5      | 0.15    
0x1054   | 31     | 31      | 3.1      | 0.31    
0x1055   | 28     | 28      | 2.8      | 0.28    
0x1056   | 0      | 0       | 0.0      | 0.0     
0x1057   | 1      | 1       | 0.1      | 0.01    
0x1058   | 700    | 700     | 70.0     | 7.0     
0x1059   | 64535  | -1001   | -100.1   | -10.01  
0x105A   | 1      | 1       | 0.1      | 0.01    
0x105B   | 0      | 0       | 0.0      | 0.0     
0x105C   | 0      | 0       | 0.0      | 0.0     
0x105D   | 1000   | 1000    | 100.0    | 10.0    
0x105E   | 1000   | 1000    | 100.0    | 10.0    
0x105F   | 50     | 50      | 5.0      | 0.5     
0x1060   | 64536  | -1000   | -100.0   | -10.0   
0x1061   | 1000   | 1000    | 100.0    | 10.0    
0x1062   | 117    | 117     | 11.7     | 1.17    
0x1063   | 1      | 1       | 0.1      | 0.01    
0x11D5   | 375    | 375     | 37.5     | 3.75    
0x11DA   | 800    | 800     | 80.0     | 8.0     
0x162D   | 374    | 374     | 37.4     | 3.74    
0x1754   | 374    | 374     | 37.4     | 3.74    
0x1789   | 4990   | 4990    | 499.0    | 49.9    
0x178A   | 2      | 2       | 0.2      | 0.02    
0x178B   | 0      | 0       | 0.0      | 0.0     
0x178C   | 0      | 0       | 0.0      | 0.0     
0x178D   | 0      | 0       | 0.0      | 0.0     
0x178E   | 0      | 0       | 0.0      | 0.0     
0x178F   | 0      | 0       | 0.0      | 0.0     
0x1790   | 0      | 0       | 0.0      | 0.0     
0x1791   | 0      | 0       | 0.0      | 0.0     
0x1792   | 0      | 0       | 0.0      | 0.0     
0x1793   | 0      | 0       | 0.0      | 0.0     
0x1794   | 0      | 0       | 0.0      | 0.0     
0x1795   | 0      | 0       | 0.0      | 0.0     
0x1796   | 0      | 0       | 0.0      | 0.0     
0x1797   | 0      | 0       | 0.0      | 0.0     
0x1798   | 0      | 0       | 0.0      | 0.0     
0x1799   | 0      | 0       | 0.0      | 0.0     
0x179A   | 0      | 0       | 0.0      | 0.0     
0x179B   | 0      | 0       | 0.0      | 0.0     
0x179C   | 0      | 0       | 0.0      | 0.0     
0x179D   | 0      | 0       | 0.0      | 0.0     
0x179E   | 0      | 0       | 0.0      | 0.0     
0x179F   | 0      | 0       | 0.0      | 0.0     
0x17A0   | 0      | 0       | 0.0      | 0.0     
0x17A1   | 0      | 0       | 0.0      | 0.0     
0x17A2   | 0      | 0       | 0.0      | 0.0     
0x17A3   | 0      | 0       | 0.0      | 0.0     
0x17A4   | 0      | 0       | 0.0      | 0.0     
0x17A5   | 0      | 0       | 0.0      | 0.0     
0x17A6   | 0      | 0       | 0.0      | 0.0     
0x17A7   | 0      | 0       | 0.0      | 0.0     
0x17A8   | 0      | 0       | 0.0      | 0.0     
0x17A9   | 0      | 0       | 0.0      | 0.0     
0x17AA   | 0      | 0       | 0.0      | 0.0     
0x17AB   | 0      | 0       | 0.0      | 0.0     
0x17AC   | 0      | 0       | 0.0      | 0.0     
0x17AD   | 0      | 0       | 0.0      | 0.0     
0x17AE   | 0      | 0       | 0.0      | 0.0     
0x17AF   | 0      | 0       | 0.0      | 0.0     
0x17B0   | 0      | 0       | 0.0      | 0.0     
0x17B1   | 0      | 0       | 0.0      | 0.0     
0x17B2   | 0      | 0       | 0.0      | 0.0     
0x17B3   | 0      | 0       | 0.0      | 0.0     
0x17B4   | 0      | 0       | 0.0      | 0.0     
0x17B5   | 0      | 0       | 0.0      | 0.0     
0x17B6   | 0      | 0       | 0.0      | 0.0     
0x17B7   | 0      | 0       | 0.0      | 0.0     
0x17B8   | 0      | 0       | 0.0      | 0.0     
0x17B9   | 0      | 0       | 0.0      | 0.0     
0x17BA   | 0      | 0       | 0.0      | 0.0     
0x17BB   | 0      | 0       | 0.0      | 0.0     
0x17BC   | 0      | 0       | 0.0      | 0.0     
0x17BD   | 0      | 0       | 0.0      | 0.0     
0x17BE   | 0      | 0       | 0.0      | 0.0     
0x17BF   | 0      | 0       | 0.0      | 0.0     
0x17C0   | 0      | 0       | 0.0      | 0.0     
0x17C1   | 0      | 0       | 0.0      | 0.0     
0x17C2   | 0      | 0       | 0.0      | 0.0     
0x17C3   | 0      | 0       | 0.0      | 0.0     
0x17C4   | 0      | 0       | 0.0      | 0.0     
0x17C5   | 0      | 0       | 0.0      | 0.0     
0x17C6   | 0      | 0       | 0.0      | 0.0     
0x17C7   | 0      | 0       | 0.0      | 0.0     
0x17C8   | 0      | 0       | 0.0      | 0.0     
0x17C9   | 0      | 0       | 0.0      | 0.0     
0x17CA   | 0      | 0       | 0.0      | 0.0     
0x17CB   | 0      | 0       | 0.0      | 0.0     
0x17CC   | 1      | 1       | 0.1      | 0.01    
0x17CD   | 0      | 0       | 0.0      | 0.0     
